game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length,fees,entry_tick_age_s
0042500117,161,2026-05-03 01:39:16.388889+00:00,35.0,38.0,stop_loss,-1,25.74172,-3.0,-302.05,0.19838033616542816,-0.17650529742240906,-0.15014303028583526,mean,0.9987014532089233,4,-1,2,2.05,0.258311
0042500123,105,2026-04-24 00:30:32.500000+00:00,70.0,74.0,stop_loss,-1,26.60878,-4.0,-401.72,0.23014342784881592,-0.1729251742362976,-0.14398006051778794,mean,0.9976638555526733,3,6,5,1.7200000000000002,0.392021
0042500123,130,2026-04-24 00:48:50.166667+00:00,61.0,56.0,take_profit,-1,1.941063,5.0,499.14,0.1709394007921219,-0.11609041690826416,-0.09623464941978455,mean,0.9991593360900879,3,8,2,0.86,0.058631
0042500126,6,2026-04-30 23:16:39.583333+00:00,41.0,46.0,stop_loss,-1,6.560706,-5.0,-502.17,0.15684504806995392,-0.11944113671779633,-0.09857633784413337,mean,0.9976673126220703,1,-3,2,2.17,0.439526
0042500133,25,2026-04-24 00:25:33.333333+00:00,48.0,43.0,take_profit,-1,73.688547,5.0,499.13,0.156875342130661,-0.15884745121002197,-0.13200475350022317,mean,0.994144856929779,1,7,4,0.87,0.310856
0042500133,50,2026-04-24 00:44:52.333333+00:00,55.0,50.0,take_profit,-1,39.68828,5.0,499.12,0.220366433262825,-0.11685323715209961,-0.09705717414617539,mean,0.9913301467895508,2,8,2,0.88,3.312152
0042500133,79,2026-04-24 01:09:52.416667+00:00,33.0,28.0,take_profit,-1,38.615661,5.0,499.25,0.15075160562992096,-0.10605701059103012,-0.08764517679810524,mean,0.9995418787002563,2,1,2,0.75,0.394609
0042500135,110,2026-04-30 01:06:32.750000+00:00,46.0,49.0,stop_loss,-1,12.369295,-3.0,-302.19,0.1848420798778534,-0.11086440086364746,-0.09179253578186035,mean,0.9967033267021179,3,-12,5,2.19,0.631269
0042500135,135,2026-04-30 01:25:40+00:00,57.0,60.0,stop_loss,-1,94.118739,-3.0,-302.12,0.2410556674003601,-0.1551632285118103,-0.1306386597454548,mean,0.9984440207481384,3,-4,2,2.12,1.881215
0042500135,140,2026-04-30 01:28:48.500000+00:00,62.0,57.0,take_profit,-1,102.618811,5.0,499.15,0.1990087628364563,-0.10936660319566727,-0.09029286354780197,mean,0.9974697828292847,3,-4,3,0.85,3.3816100000000002
0042500135,149,2026-04-30 01:35:02.250000+00:00,45.0,40.0,take_profit,-1,24.868822,5.0,499.13,0.17330259084701538,-0.18125635385513306,-0.1517621949315071,mean,0.9990940093994141,3,-8,2,0.87,0.131348
0042500135,163,2026-04-30 01:44:12.722222+00:00,63.0,66.0,stop_loss,-1,6.396946,-3.0,-301.99,0.19655941426753998,-0.11086337268352509,-0.09147615656256676,mean,0.9982486963272095,4,-3,3,1.99,0.603912
0042500136,49,2026-05-02 00:16:12+00:00,42.0,37.0,take_profit,-1,23.016348,5.0,499.16,0.1630779355764389,-0.19878247380256653,-0.16657200306653977,mean,0.9986459612846375,2,2,3,0.84,0.983525
0042500137,83,2026-05-04 00:48:03.333333+00:00,64.0,64.0,time_gate,-1,240.0,-0.0,-2.0300000000000002,0.35628148913383484,-0.09623315930366516,-0.08352925553917885,mean,0.9958082437515259,2,-7,2,2.0300000000000002,3.216922
0042500152,127,2026-04-22 01:43:57.916667+00:00,66.0,66.0,momentum_flip,-1,7.150438,-0.0,-1.98,0.1737748384475708,-0.10941026359796524,-0.0905725359916687,mean,0.9955503940582275,3,2,2,1.98,1.8496540000000001
0042500153,111,2026-04-25 04:18:06+00:00,64.0,69.0,take_profit,1,20.574139,5.0,499.21,0.17261825501918793,0.10032932460308075,0.0922262504696846,mean,0.9993963241577148,3,8,2,0.79,0.985696
0042500154,77,2026-04-26 20:46:14.916667+00:00,67.0,70.0,stop_loss,-1,41.184971,-3.0,-301.87,0.16870102286338806,-0.1146235316991806,-0.09510785937309266,mean,0.9959516525268555,2,15,4,1.87,0.815076
0042500154,115,2026-04-26 21:20:30+00:00,52.0,52.0,momentum_flip,-1,43.101897,-0.0,-2.19,0.15784777700901031,-0.19714492559432983,-0.1653294801712036,mean,0.9947142004966736,3,4,6,2.19,0.897699
0042500154,132,2026-04-26 21:29:47.500000+00:00,35.0,30.0,take_profit,-1,7.601473,5.0,499.23,0.16547143459320068,-0.10507792979478836,-0.08711863905191422,mean,0.9983229041099548,3,-2,3,0.77,0.398363
0042500164,130,2026-04-26 02:35:20.833333+00:00,42.0,48.0,stop_loss,-1,0.345825,-6.0,-602.18,0.23806703090667725,-0.1738387942314148,-0.1476202577352524,mean,0.9984014630317688,3,-1,4,2.18,0.653564
