game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length
0042500136,164,2026-05-02 01:56:02.250000+00:00,31.0,43.0,stop_loss,-1,123.766335,-12.0,-1200.0,0.1419462412595749,-0.08934493362903595,-0.08934493362903595,final,0.9683826565742493,4,3,3
0042500136,167,2026-05-02 01:58:14.833333+00:00,44.0,24.0,take_profit,-1,168.18353,20.0,2000.0,0.13527613878250122,-0.13327473402023315,-0.13327473402023315,final,0.9767256379127502,4,1,4
0042500136,172,2026-05-02 02:02:09.166667+00:00,41.0,27.0,momentum_flip,-1,105.850084,14.0,1400.0,0.15162156522274017,-0.27165842056274414,-0.27165842056274414,final,0.969366729259491,4,3,4
0042500137,83,2026-05-04 00:48:03.333333+00:00,64.0,63.0,momentum_flip,-1,357.782169,1.0,100.0,0.246183842420578,-0.13872259855270386,-0.13872259855270386,final,0.9835995435714722,2,-7,2
0042500137,98,2026-05-04 01:03:29.166667+00:00,63.0,75.0,stop_loss,-1,253.948813,-12.0,-1200.0,0.24496817588806152,-0.14437532424926758,-0.14437532424926758,final,0.9475517868995667,2,0,2
0042500154,75,2026-04-26 20:43:56.083333+00:00,65.0,77.0,stop_loss,-1,393.018179,-12.0,-1200.0,0.18836550414562225,-0.14681316912174225,-0.14681316912174225,final,0.9807602167129517,2,12,3
0042500154,105,2026-04-26 21:13:25+00:00,57.0,45.0,stop_loss,1,351.101446,-12.0,-1200.0,0.11211846023797989,0.2227763533592224,0.2227763533592224,final,0.9822399616241455,3,15,2
0042500154,115,2026-04-26 21:20:30+00:00,52.0,52.0,momentum_flip,-1,63.101897,-0.0,-0.0,0.1536298543214798,-0.08969490230083466,-0.08969490230083466,final,0.97502601146698,3,4,6
0042500154,136,2026-04-26 21:33:40+00:00,35.0,35.0,momentum_flip,-1,128.101654,-0.0,-0.0,0.1437205821275711,-0.16320142149925232,-0.16320142149925232,final,0.9849836230278015,3,3,2
0042500161,14,2026-04-18 19:51:33.500000+00:00,68.0,67.0,momentum_flip,-1,108.687118,1.0,100.0,0.15061055123806,-0.11253190040588379,-0.11253190040588379,final,0.9960891008377075,1,-5,2
0042500162,184,2026-04-21 05:05:06.500000+00:00,68.0,48.0,take_profit,-1,294.490532,20.0,2000.0,0.1650836318731308,-0.3056231737136841,-0.3056231737136841,final,0.9803739786148071,4,5,2
0042500172,138,2026-04-22 04:40:52+00:00,56.0,52.0,momentum_flip,1,387.106354,-4.0,-400.0,0.07602721452713013,0.2007209062576294,0.2007209062576294,final,0.9982740879058838,4,9,2
0042500201,167,2026-05-06 01:19:30+00:00,61.0,49.0,stop_loss,1,82.099393,-12.0,-1200.0,0.08805786818265915,0.20589172840118408,0.20589172840118408,final,0.9977638721466064,4,3,2
0042500201,170,2026-05-06 01:21:58+00:00,58.0,72.0,stop_loss,-1,35.099479,-14.0,-1400.0,0.18873505294322968,-0.08235716819763184,-0.08235716819763184,final,0.9718984365463257,4,0,3
0042500201,171,2026-05-06 01:22:41.166667+00:00,70.0,71.0,momentum_flip,-1,96.932777,-1.0,-100.0,0.20797587931156158,-0.1834682822227478,-0.1834682822227478,final,0.9647988677024841,4,0,3
0042500202,22,2026-05-07 23:25:59.583333+00:00,64.0,67.0,momentum_flip,-1,92.579605,-3.0,-300.0,0.14867091178894043,-0.188349187374115,-0.188349187374115,final,0.9878098964691162,1,5,3
0042500202,128,2026-05-08 00:55:04.250000+00:00,54.0,64.0,momentum_flip,1,82.912617,10.0,1000.0,0.15972208976745605,0.1610308289527893,0.1610308289527893,final,0.9939753413200378,3,4,2
0042500203,12,2026-05-09 19:21:22.750000+00:00,53.0,52.0,momentum_flip,-1,208.461454,1.0,100.0,0.02492714300751686,-0.1637028604745865,-0.1637028604745865,final,0.996766209602356,1,-6,2
0042500203,21,2026-05-09 19:27:50.500000+00:00,58.0,58.0,time_gate,-1,600.0,-0.0,-0.0,0.07033693790435791,-0.0908983126282692,-0.0908983126282692,final,0.9957161545753479,1,-3,2
