player_id,player_name,star_tier,team_tricode,team_id
1641810,Reeves,5,CHA,4.0
1630538,Hyland,5,MIN,18.0
1641796,Larsson,5,MIA,16.0
1642954,Richard,5,GSW,10.0
1642933,Gilbert,5,WAS,30.0
1641809,Peterson,5,CHA,4.0
1630534,Agbaji,5,TOR,28.0
1631120,Davison,5,HOU,11.0
1629234,Eubanks,5,SAC,26.0
1641741,Council IV,5,PHI,23.0
1641740,Clark,5,MIN,18.0
1628998,Martin,5,IND,12.0
1631218,Jackson-Davis,5,GSW,10.0
1642367,Mogbo,5,TOR,28.0
1630549,Sharpe,5,BKN,3.0
1631104,Wesley,5,POR,25.0
1628418,Bryant,5,CLE,6.0
1641783,da Silva,5,ORL,22.0
1641713,Jackson,5,MEM,15.0
201949,Johnson,4,IND,12.0
1630192,Nnaji,5,DEN,8.0
201567,Love,5,UTA,29.0
1642949,Niederhauser,5,LAC,13.0
1641723,Bufkin,5,LAL,14.0
1628988,Holiday,5,HOU,11.0
1641724,Howard,5,ORL,22.0
1630214,Tillman,5,CHA,4.0
1630167,Toppin,5,IND,12.0
202687,Biyombo,5,SAS,27.0
1642878,Proctor,5,CLE,6.0
1631102,Washington Jr.,5,LAC,13.0
1631115,Robinson,5,ORL,22.0
1641745,Flagler,5,OKC,21.0
1629162,McLaughlin,5,SAS,27.0
1630604,Liddell,5,BKN,3.0
1629650,Brown,5,DAL,7.0
203992,Bogdanovic,5,LAC,13.0
1628470,Craig,5,BOS,2.0
1626196,Richardson,5,MIA,16.0
1642918,Martin,5,TOR,28.0
1641734,Bates,5,CLE,6.0
1631386,Moore,5,POR,25.0
1630621,Dickinson,5,NOP,19.0
201935,Harden,3,LAC,13.0
1629027,Young,2,WAS,30.0
1627777,Niang,5,CLE,6.0
1629004,Mykhailiuk,5,UTA,29.0
1628368,Fox,2,SAS,27.0
203484,Caldwell-Pope,4,MEM,15.0
1631094,Banchero,2,ORL,22.0
203924,Grant,4,POR,25.0
1628389,Adebayo,2,MIA,16.0
1630171,Okoro,5,CHI,5.0
1642847,Fears,5,NOP,19.0
1627884,Jones Jr.,5,LAC,13.0
1627742,Ingram,2,TOR,28.0
204001,Porzingis,5,GSW,10.0
1642948,Nembhard,5,DAL,7.0
1642258,Risacher,5,ATL,1.0
1630551,Champagnie,5,WAS,30.0
202681,Irving,2,DAL,7.0
1626156,Russell,5,DAL,7.0
1629018,Trent Jr.,5,MIL,17.0
1630532,F. Wagner,2,ORL,22.0
1641774,Vukcevic,5,WAS,30.0
1630596,Mobley,3,CLE,6.0
1628975,Carter,5,ORL,22.0
1629618,Pickett,5,DEN,8.0
1631114,Jal. Williams,5,OKC,21.0
1641764,Podziemski,4,GSW,10.0
201950,Holiday,5,POR,25.0
1631311,Quinones,5,PHI,23.0
202691,Thompson,4,DAL,7.0
1630243,Queen,5,ORL,22.0
1628401,White,3,BOS,2.0
1630696,Smith,5,MIA,16.0
1630592,Wilson,5,BKN,3.0
1631107,Jovic,5,MIA,16.0
203935,Smart,5,LAL,14.0
1642851,Knueppel,5,CHA,4.0
1642419,Battle,5,TOR,28.0
1642846,Bailey,5,UTA,29.0
1641890,Smith,5,MIL,17.0
1631213,Martin,5,BKN,3.0
203932,Gordon,3,DEN,8.0
1642867,Murray-Boyles,5,TOR,28.0
203926,McDermott,5,SAC,26.0
1631172,Dieng,5,OKC,21.0
1642883,James,5,CHA,4.0
1642869,Penda,5,ORL,22.0
1642263,Sheppard,5,HOU,11.0
1642849,Traore,5,BKN,3.0
1630241,Merrill,5,CLE,6.0
1626145,Jones,5,ORL,22.0
1629726,Mathews,5,IND,12.0
1642285,Spencer,5,MEM,15.0
1642857,Jakucionis,5,MIA,16.0
1630583,Aldama,5,MEM,15.0
1630533,Williams,5,BKN,3.0
1630545,Shannon Jr.,5,MIN,18.0
1628981,Fernando,5,TOR,28.0
1630191,Stewart,5,DET,9.0
1642403,Jones,5,DET,9.0
1629003,Milton,5,BKN,3.0
1631119,Jay. Williams,5,OKC,21.0
1629629,Reddish,5,LAL,14.0
1642853,Fleming,5,PHX,24.0
1628366,Ball,5,CLE,6.0
1631121,McGowens,5,NOP,19.0
1630288,Dowtin Jr.,5,PHI,23.0
1642050,Rowe,5,GSW,10.0
1626204,Nance Jr.,5,CLE,6.0
1627814,Lee,5,PHX,24.0
201988,Mills,5,LAC,13.0
1641878,Baugh,5,CHA,4.0
202066,Temple,5,TOR,28.0
1642942,Mashack,5,MEM,15.0
1641755,McCullar Jr.,5,NYK,20.0
1642384,Crawford,5,HOU,11.0
1630649,Umude,5,SAS,27.0
1641807,Omier,5,LAC,13.0
1627746,Labissiere,5,WAS,30.0
677,Williams,5,,
200755,Redick,5,,
1631211,Keels,5,,
1642855,Essengue,5,,
1642468,Brown,5,,
1642911,Zikarsky,5,,
1629643,Okeke,5,,
1631306,Swider,5,,
1629667,McDaniels,5,,
1631303,Minaya,5,,
1642917,Shulga,5,,
149,Adams,5,,
1626143,Okafor,5,,
762,Bradley,5,,
57,Christie,5,,
683,K. Johnson,5,,
2794,Bickerstaff,5,,
1642389,Pullin,5,,
698,Johnson,4,,
1497,Billups,5,,
201168,Splitter,5,,
73,Williams,5,,
